id,State or union territory,DensityScale,SexRatioScale
9,Uttar Pradesh,2.9180303367848803,-88
27,Maharashtra,2.5622928644564746,-71
10,Bihar,3.042181594515766,-82
19,West Bengal,3.012415374762433,-47
23,Madhya Pradesh,2.3729120029701067,-69
33,Tamil Nadu,2.7442929831226763,-4
8,Rajasthan,2.303196057420489,-72
29,Karnataka,2.503790683057181,-27
24,Gujarat,2.4885507165004443,-81
28,Andhra Pradesh,2.481442628502305,-7
21,Odisha,2.429752280002408,-21
0,Telangana,2.494154594018443,-12
32,Kerala,2.9339931638312424,84
20,Jharkhand,2.617000341120899,-52
18,Assam,2.598790506763115,-46
3,Punjab,2.7403626894942437,-105
22,Chhattisgarh,2.2764618041732443,-9
6,Haryana,2.75815462196739,-121
5,Uttarakhand,2.2764618041732443,-37
2,Himachal Pradesh,2.089905111439398,-28
16,Tripura,2.5440680443502757,-40
17,Meghalaya,2.12057393120585,-11
14,Manipur,2.0863598306747484,-8
13,Nagaland,2.0755469613925306,-69
30,Goa,2.595496221825574,-27
12,Arunanchal Pradesh,1.2304489213782739,-62
15,Mizoram,1.7160033436347992,-24
11,Sikkim,1.9344984512435677,-110
7,NCT of Delhi,4.052963128755503,-132
1,Jammu & Kashmir,2.4727564493172123,-110
34,Puducherry,3.414639146737009,37
4,Chandigarh,3.966235624098582,-182
26,Dadara & Nagar Havelli,2.9867717342662448,-289
25,Daman & Diu,2.9867717342662448,-289
35,Andaman & Nicobar Island,1.662757831681574,-124
31,Lakshadweep,3.3038437748886547,-54
